"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1810",84583,"D RU GZ",0.747,0.535,0,-9.263,0,0.0545,0.058,0,0.738,0.393,123.941,"spotify:track:2t3ESr9wBsxllkeNlgVhHM",186,4,"rapmetal","Rap"
"1811",84584,"Bornto Bea Valkyrie",0.483,0.79,7,-4.557,0,0.0389,0.222,0,0.336,0.624,95.958,"spotify:track:2V2ckrPkvTCcTaRe6qWtRq",233,4,"rapmetal","Rap"
"1812",84585,"Pow",0.92,0.747,2,-4.62,1,0.0711,0.207,0,0.0963,0.688,128.025,"spotify:track:2Wk3d7X0vxsx19ChXCkZaL",120,4,"rapmetal","Rap"
"1813",84586,"Like AStorm",0.557,0.729,1,-5.26,1,0.0844,0.0757,0,0.128,0.436,169.865,"spotify:track:2xKkYmO8f6KfM65R2MLAZu",156,4,"rapmetal","Rap"
"1814",84587,"Zapali-Original Mix",0.837,0.543,8,-7.841,1,0.174,0.0313,0,0.106,0.675,147.991,"spotify:track:2XqmlTemSn4aHlJKRWuHLT",193,4,"rapmetal","Rap"
"1815",84588,"Anything",0.548,0.698,0,-3.939,1,0.184,0.0156,1.55e-05,0.0716,0.317,124.893,"spotify:track:1k5mqOPp7uKlqssxDlq5rU",203,4,"rapmetal","Rap"
"1816",84589,"Roll ADollar",0.772,0.671,1,-7.9,1,0.0656,0.0636,0.708,0.0902,0.322,130.032,"spotify:track:1vooJuhAHCAcoNTW1l2KLd",237,4,"rapmetal","Rap"
"1817",84590,"Leavea Message",0.632,0.409,2,-8.941,1,0.0357,0.818,0,0.235,0.262,139.785,"spotify:track:35qui5WO3TbGFXG7VDMCR9",196,4,"rapmetal","Rap"
"1818",84591,"Hindsight",0.927,0.49,8,-11.677,1,0.262,0.472,0.00167,0.1,0.487,97.509,"spotify:track:372gJYnweTnyJ063zUw82D",237,4,"rapmetal","Rap"
"1819",84592,"A Place I\m In",0.898,0.592,0,-7.298,1,0.124,0.0849,2.43e-05,0.215,0.537,126.023,"spotify:track:2CYxaOOTwjZNO4LVXix0bK",232,4,"rapmetal","Rap"
"1820",84593,"Chill Keyz",0.892,0.555,4,-16.369,0,0.0718,0.934,0.827,0.0949,0.77,120.03,"spotify:track:3CRTWlADLizF1ZDLmpfhqd",198,4,"rapmetal","Rap"
"1821",84594,"River",0.543,0.468,4,-11.533,1,0.0813,0.183,0.282,0.111,0.159,75.044,"spotify:track:3EEESEg3uS2Eke9Pz1rSHQ",294,4,"rapmetal","Rap"
"1822",84595,"Drinkto This(Remix)",0.938,0.922,1,-4.394,1,0.079,0.162,0,0.046,0.961,99.991,"spotify:track:4Ua7QXgj08MhfpmpB6s270",220,4,"rapmetal","Rap"
"1823",84596,"Zeus Papa God",0.451,0.116,1,-20.993,1,0.134,0.689,0.289,0.109,0.0342,95.478,"spotify:track:3F29n3JFZBkwrLTgy8oUr3",94,4,"rapmetal","Rap"
"1824",84597,"Mercury:Retrograde",0.831,0.814,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,"spotify:track:2Vc6NJ9PW9gD9q343XFRKx",124,4,"rapmetal","Rap"
"1825",84598,"1000 Rounds",0.825,0.761,8,-5.389,1,0.104,0.0111,0.00359,0.334,0.161,149.97,"spotify:track:5o7ZDvfOry1MNhNLBOJulo",163,4,"rapmetal","Rap"
"1826",84599,"Deathby Dishonor",0.81,0.735,8,-4.522,1,0.171,0.00454,0.0828,0.115,0.134,119.994,"spotify:track:5VphpldmtVyZH6S8RpHWLT",192,4,"rapmetal","Rap"
"1827",84600,"Snowflake",0.921,0.463,9,-9.361,1,0.296,0.0495,0.000607,0.183,0.204,113.017,"spotify:track:6vj8qKyhrRsTtmswcLLJL2",161,4,"rapmetal","Rap"
"1828",84601,"Stick Out",0.77,0.853,10,-3.849,0,0.221,0.0042,0.000961,0.0936,0.615,164.037,"spotify:track:0jakaHRU7ubOzJTseh6tJu",135,4,"rapmetal","Rap"
"1829",84602,"Sleeping Bag",0.674,0.646,0,-9.423,1,0.4,0.117,0,0.104,0.222,160.028,"spotify:track:2os38o5E7NoO4B2cx42h5V",123,4,"rapmetal","Rap"
