"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1970",63980,"Sulfur",0.201,0.535,7,-14.108,1,0.0467,0.912,0.872,0.355,0.108,134.389,"spotify:track:5zuiaDBh2wyyQsGqQm6TTB",423,3,"darkambient","Ambient"
"1971",63981,"I X",0.412,0.88,0,-10.691,0,0.0477,0.636,0.933,0.1,0.176,113.241,"spotify:track:57SrQgYnNUIfABkIK4g4xK",384,1,"darkambient","Ambient"
"1972",63982,"Buried Under Time And Sand",0.0797,0.442,2,-15.813,0,0.0668,0.418,0.837,0.0914,0.0338,171.369,"spotify:track:3ce2XqRsgG9JPpJCg9XfgM",412,4,"darkambient","Ambient"
"1973",63983,"Lord Of The Shining Crown",0.183,0.493,5,-14.977,1,0.0336,0.818,0.9,0.83,0.159,165.979,"spotify:track:2R28kegbLXuAST1IMNvWoy",429,5,"darkambient","Ambient"
"1974",63984,"Nanab Ishtar-Exalted Light Of Heaven",0.186,0.433,1,-18.902,1,0.0735,0.631,0.931,0.105,0.0515,85.723,"spotify:track:0wc2EW51SYZVV5ZOKFQekm",375,4,"darkambient","Ambient"
"1975",63985,"Etemenanki-Foundation Of Heaven And Earth",0.157,0.628,0,-13.755,1,0.0756,0.745,0.829,0.253,0.0355,91.852,"spotify:track:3SI6EAKp9oe0fvTPgso7Gl",307,3,"darkambient","Ambient"
"1976",63986,"Purifying Ceremony",0.0962,0.397,5,-18.359,1,0.0645,0.767,0.917,0.119,0.0698,75.16,"spotify:track:2WSn3TZ1llwaQSTgOAnBpt",291,5,"darkambient","Ambient"
"1977",63987,"4000 Years Of Damascus",0.483,0.409,8,-16.987,1,0.0535,0.904,0.923,0.0854,0.0619,114.567,"spotify:track:0TgPyz6I3KYzWoOXnUkt86",312,3,"darkambient","Ambient"
"1978",63988,"Admonish The Living",0.213,0.58,0,-14.501,0,0.245,0.704,0.943,0.102,0.0298,74.558,"spotify:track:4x7OC1EXaQwhXBipbgBLQm",549,4,"darkambient","Ambient"
"1979",63989,"Downward",0.239,0.528,8,-16.313,1,0.0858,0.128,0.862,0.109,0.0621,83.699,"spotify:track:0LNf1c1dyeaWEUKcK4LFKP",290,4,"darkambient","Ambient"
"1980",63990,"Sector3214",0.276,0.538,7,-14.262,1,0.0427,0.793,0.966,0.349,0.121,113.728,"spotify:track:4QT7PkJ1BIlWg90e1eyuO4",349,5,"darkambient","Ambient"
"1981",63991,"Awakeningofthe Soulless",0.189,0.541,10,-13.356,0,0.0552,0.739,0.882,0.361,0.0375,137.811,"spotify:track:3RVXVQtQHwSxTGkmAIIKIh",247,3,"darkambient","Ambient"
"1982",63992,"Steelvs.Flesh",0.443,0.559,5,-15.597,0,0.0908,0.868,0.87,0.101,0.0826,159.638,"spotify:track:2NJihJRkDq96BZbpgDAOW0",278,4,"darkambient","Ambient"
"1983",63993,"Life Crawls Back",0.149,0.301,5,-15.653,0,0.0357,0.681,0.905,0.114,0.0352,88.42,"spotify:track:4A0FwhdAgHkrEhtR0qq7Wu",315,4,"darkambient","Ambient"
"1984",63994,"Through Bleak Landscapes",0.433,0.224,11,-17.549,1,0.0397,0.363,0.919,0.0978,0.0326,119.751,"spotify:track:6hj2MmrpCTfWhMjjgEQCnY",247,4,"darkambient","Ambient"
"1985",63995,"Cominginto Power",0.39,0.401,4,-14.999,0,0.0557,0.836,0.425,0.112,0.0364,93.284,"spotify:track:4OO1qb42SvZu5LkJNI2IGH",392,4,"darkambient","Ambient"
"1986",63996,"Dear Diary",0.316,0.497,9,-20.588,1,0.33,0.89,0.47,0.102,0.0994,111.439,"spotify:track:4c8hqxc4q3BRe5JqEfpYbD",153,1,"darkambient","Ambient"
"1987",63997,"Humanity\s Cradle",0.269,0.136,1,-28.824,1,0.0493,0.315,0.844,0.145,0.0321,113.96,"spotify:track:0cyY4cEwluYQCbAN68SKJG",327,3,"darkambient","Ambient"
"1988",63998,"A Curved Blade",0.206,0.111,0,-21.81,0,0.0371,0.465,0.848,0.106,0.0371,128.069,"spotify:track:6VRpEM4hG2gecSwwsKmsH9",363,4,"darkambient","Ambient"
"1989",63999,"Reselected",0.277,0.328,7,-23.018,1,0.0505,0.249,0.8,0.106,0.407,159.99,"spotify:track:0DQrrARGGlBlqfbzMigG5b",275,4,"darkambient","Ambient"
"1990",64000,"Victorian Meltdown",0.239,0.297,1,-23.288,1,0.057,0.678,0.945,0.148,0.0926,122.236,"spotify:track:3jpdM09GqwBpi6R9nVzD0z",504,4,"darkambient","Ambient"
"1991",64001,"Passage",0.236,0.359,1,-22.687,1,0.0636,0.729,0.874,0.112,0.0989,88.949,"spotify:track:0qQhQNAkLr6tZi6wBUOjU4",279,4,"darkambient","Ambient"
"1992",64002,"Endless Deep",0.304,0.156,11,-25.597,0,0.0401,0.711,0.923,0.162,0.144,175.956,"spotify:track:0HG6LSoPBA9m42Y4Vj6Bur",278,4,"darkambient","Ambient"
"1993",64003,"Debt",0.303,0.269,3,-26.372,1,0.0569,0.699,0.84,0.119,0.105,119.917,"spotify:track:3EvTtGMKONOM9krgeiYmY4",687,4,"darkambient","Ambient"
"1994",64004,"Trembling",0.151,0.176,7,-21.84,1,0.0363,0.946,0.916,0.194,0.0303,74.158,"spotify:track:2GDpiMcXBbyty4gOU3ligw",254,4,"darkambient","Ambient"
"1995",64005,"Slower",0.447,0.0147,3,-30.121,1,0.0418,0.817,0.841,0.108,0.0344,123.977,"spotify:track:3JUdYJIY9hjpmKEksgsenZ",330,4,"darkambient","Ambient"
"1996",64006,"Ancient Past",0.229,0.277,1,-24.948,1,0.0781,0.55,0.926,0.0994,0.0469,127.128,"spotify:track:6Kq4ShXrKjcTwNmYAVQAhF",491,4,"darkambient","Ambient"
"1997",64007,"Reap",0.636,0.285,2,-19.276,0,0.0333,0.843,0.927,0.133,0.0693,140.066,"spotify:track:3xAiRXjDBejwv8N6rEtgQ2",230,3,"darkambient","Ambient"
